filename,composite_score,category,passes_threshold,readability,coherence,information_density,completeness,linguistic_quality,weakest_metric,output_path
oldnavy_20240918_012_cleaned.txt,0.73,good,True,0.927,0.216,0.869,0.94,0.879,coherence,data\quality_assessed\high_quality\oldnavy_20240918_012_assessed.txt
patisserie_20240918_005_cleaned.txt,0.725,good,True,0.954,0.5,0.737,0.73,0.77,coherence,data\quality_assessed\high_quality\patisserie_20240918_005_assessed.txt
thelodge_20240715_006_cleaned.txt,0.702,good,True,0.79,0.5,0.817,0.67,0.763,coherence,data\quality_assessed\high_quality\thelodge_20240715_006_assessed.txt
thelodge_20240715_001_cleaned.txt,0.694,good,True,0.752,0.5,0.796,0.73,0.737,coherence,data\quality_assessed\high_quality\thelodge_20240715_001_assessed.txt
cora_20240918_010_cleaned.txt,0.687,good,True,0.853,0.205,0.779,0.88,0.923,coherence,data\quality_assessed\high_quality\cora_20240918_010_assessed.txt
l3b_20240918_014_cleaned.txt,0.683,good,True,0.978,0.305,0.719,0.73,0.815,coherence,data\quality_assessed\high_quality\l3b_20240918_014_assessed.txt
ben_20240918_008_cleaned.txt,0.677,good,True,0.982,0.5,0.663,0.67,0.595,coherence,data\quality_assessed\high_quality\ben_20240918_008_assessed.txt
eggspectation_20240715_010_cleaned.txt,0.677,good,True,0.918,0.273,0.813,0.67,0.81,coherence,data\quality_assessed\high_quality\eggspectation_20240715_010_assessed.txt
oldnavy_20240918_013_cleaned.txt,0.676,good,True,0.729,0.28,0.796,0.94,0.8,coherence,data\quality_assessed\high_quality\oldnavy_20240918_013_assessed.txt
allomoncoco_20240918_009_cleaned.txt,0.671,good,True,0.977,0.417,0.706,0.73,0.566,coherence,data\quality_assessed\high_quality\allomoncoco_20240918_009_assessed.txt
eggsmart_20240715_004_cleaned.txt,0.662,good,True,0.82,0.227,0.785,0.88,0.755,coherence,data\quality_assessed\high_quality\eggsmart_20240715_004_assessed.txt
timhorton_20240918_015_cleaned.txt,0.656,good,True,0.926,0.127,0.836,0.73,0.802,coherence,data\quality_assessed\high_quality\timhorton_20240918_015_assessed.txt
20240909_Hilton_cleaned.txt,0.654,good,True,0.867,0.141,0.817,0.73,0.876,coherence,data\quality_assessed\high_quality\20240909_Hilton_assessed.txt
timhorton_20240918_011_cleaned.txt,0.639,acceptable,True,0.91,0.106,0.829,0.73,0.756,coherence,data\quality_assessed\high_quality\timhorton_20240918_011_assessed.txt
fiveguys_20240918_016_cleaned.txt,0.638,acceptable,True,0.998,0.322,0.682,0.73,0.517,coherence,data\quality_assessed\high_quality\fiveguys_20240918_016_assessed.txt
eggspectation_20240715_002_cleaned.txt,0.631,acceptable,True,0.747,0.218,0.797,0.67,0.852,coherence,data\quality_assessed\high_quality\eggspectation_20240715_002_assessed.txt
pizzeria_20240918_018_cleaned.txt,0.628,acceptable,True,0.85,0.145,0.699,0.73,0.914,coherence,data\quality_assessed\high_quality\pizzeria_20240918_018_assessed.txt
uniqlo_20240715_cleaned.txt,0.627,acceptable,True,0.85,0.5,0.665,0.73,0.375,linguistic_quality,data\quality_assessed\high_quality\uniqlo_20240715_assessed.txt
hoteltoronto_20240715_008_cleaned.txt,0.626,acceptable,True,0.924,0.119,0.761,0.67,0.803,coherence,data\quality_assessed\high_quality\hoteltoronto_20240715_008_assessed.txt
tablerock_20240715_009_cleaned.txt,0.598,acceptable,True,0.747,0.109,0.803,0.67,0.801,coherence,data\quality_assessed\high_quality\tablerock_20240715_009_assessed.txt
eggspectation_20240918_007_cleaned.txt,0.59,acceptable,True,0.781,0.371,0.648,0.73,0.461,coherence,data\quality_assessed\high_quality\eggspectation_20240918_007_assessed.txt
lacocina_20240528_001_cleaned.txt,0.518,acceptable,True,0.352,0.272,0.683,0.73,0.665,coherence,data\quality_assessed\high_quality\lacocina_20240528_001_assessed.txt
